dataset,variable,label
NFHS-5 Household,hv108_22,education completed in single years
NFHS-5 Household,hv108_23,education completed in single years
NFHS-5 Household,hv108_24,education completed in single years
NFHS-5 Household,hv108_25,education completed in single years
NFHS-5 Household,hv108_26,education completed in single years
NFHS-5 Household,hv108_27,education completed in single years
NFHS-5 Household,hv108_28,education completed in single years
NFHS-5 Household,hv108_29,education completed in single years
NFHS-5 Household,hv108_30,education completed in single years
NFHS-5 Household,hv108_31,education completed in single years
NFHS-5 Household,hv108_32,education completed in single years
NFHS-5 Household,hv108_33,education completed in single years
NFHS-5 Household,hv108_34,education completed in single years
NFHS-5 Household,hv108_35,education completed in single years
NFHS-5 Household,hv109_01,educational attainment
NFHS-5 Household,hv109_02,educational attainment
